Bit Position,Bit description,Bit Type
344,C(~C)(~H),Simple Atom Nearest Neighbors
345,C(~C)(~H)(~N),Simple Atom Nearest Neighbors
346,C(~C)(~H)(~O),Simple Atom Nearest Neighbors
347,C(~C)(~H)(~O)(~O),Simple Atom Nearest Neighbors
348,C(~C)(~H)(~P),Simple Atom Nearest Neighbors
349,C(~C)(~H)(~S),Simple Atom Nearest Neighbors
350,C(~C)(~I),Simple Atom Nearest Neighbors
351,C(~C)(~N),Simple Atom Nearest Neighbors
352,C(~C)(~O),Simple Atom Nearest Neighbors
353,C(~C)(~S),Simple Atom Nearest Neighbors
354,C(~C)(~Si),Simple Atom Nearest Neighbors
355,C(~C)(:C),Simple Atom Nearest Neighbors
356,C(~C)(:C)(:C),Simple Atom Nearest Neighbors
357,C(~C)(:C)(:N),Simple Atom Nearest Neighbors
358,C(~C)(:N),Simple Atom Nearest Neighbors
359,C(~C)(:N)(:N),Simple Atom Nearest Neighbors
360,C(~Cl)(~Cl),Simple Atom Nearest Neighbors
361,C(~Cl)(~H),Simple Atom Nearest Neighbors
362,C(~Cl)(:C),Simple Atom Nearest Neighbors
363,C(~F)(~F),Simple Atom Nearest Neighbors
364,C(~F)(:C),Simple Atom Nearest Neighbors
365,C(~H)(~N),Simple Atom Nearest Neighbors
366,C(~H)(~O),Simple Atom Nearest Neighbors
367,C(~H)(~O)(~O),Simple Atom Nearest Neighbors
368,C(~H)(~S),Simple Atom Nearest Neighbors
369,C(~H)(~Si),Simple Atom Nearest Neighbors
370,C(~H)(:C),Simple Atom Nearest Neighbors
371,C(~H)(:C)(:C),Simple Atom Nearest Neighbors
372,C(~H)(:C)(:N),Simple Atom Nearest Neighbors
373,C(~H)(:N),Simple Atom Nearest Neighbors
374,C(~H)(~H)(~H),Simple Atom Nearest Neighbors
375,C(~N)(~N),Simple Atom Nearest Neighbors
376,C(~N)(:C),Simple Atom Nearest Neighbors
377,C(~N)(:C)(:C),Simple Atom Nearest Neighbors
378,C(~N)(:C)(:N),Simple Atom Nearest Neighbors
379,C(~N)(:N),Simple Atom Nearest Neighbors
380,C(~O)(~O),Simple Atom Nearest Neighbors
381,C(~O)(:C),Simple Atom Nearest Neighbors
382,C(~O)(:C)(:C),Simple Atom Nearest Neighbors
383,C(~S)(:C),Simple Atom Nearest Neighbors
384,C(:C)(:C),Simple Atom Nearest Neighbors
385,C(:C)(:C)(:C),Simple Atom Nearest Neighbors
386,C(:C)(:C)(:N),Simple Atom Nearest Neighbors
387,C(:C)(:N),Simple Atom Nearest Neighbors
388,C(:C)(:N)(:N),Simple Atom Nearest Neighbors
389,C(:N)(:N),Simple Atom Nearest Neighbors
390,N(~C)(~C),Simple Atom Nearest Neighbors
391,N(~C)(~C)(~C),Simple Atom Nearest Neighbors
392,N(~C)(~C)(~H),Simple Atom Nearest Neighbors
393,N(~C)(~H),Simple Atom Nearest Neighbors
394,N(~C)(~H)(~N),Simple Atom Nearest Neighbors
395,N(~C)(~O),Simple Atom Nearest Neighbors
396,N(~C)(:C),Simple Atom Nearest Neighbors
397,N(~C)(:C)(:C),Simple Atom Nearest Neighbors
398,N(~H)(~N),Simple Atom Nearest Neighbors
399,N(~H)(:C),Simple Atom Nearest Neighbors
400,N(~H)(:C)(:C),Simple Atom Nearest Neighbors
401,N(~O)(~O),Simple Atom Nearest Neighbors
402,N(~O)(:O),Simple Atom Nearest Neighbors
403,N(:C)(:C),Simple Atom Nearest Neighbors
404,N(:C)(:C)(:C),Simple Atom Nearest Neighbors
405,O(~C)(~C),Simple Atom Nearest Neighbors
406,O(~C)(~H),Simple Atom Nearest Neighbors
407,O(~C)(~P),Simple Atom Nearest Neighbors
408,O(~H)(~S),Simple Atom Nearest Neighbors
409,O(:C)(:C),Simple Atom Nearest Neighbors
410,P(~C)(~C),Simple Atom Nearest Neighbors
411,P(~O)(~O),Simple Atom Nearest Neighbors
412,S(~C)(~C),Simple Atom Nearest Neighbors
413,S(~C)(~H),Simple Atom Nearest Neighbors
414,S(~C)(~O),Simple Atom Nearest Neighbors
415,Si(~C)(~C),Simple Atom Nearest Neighbors
416,C=C,Detailed Atom Neighborhoods
417,C#C,Detailed Atom Neighborhoods
418,C=N,Detailed Atom Neighborhoods
419,C#N,Detailed Atom Neighborhoods
420,C=O,Detailed Atom Neighborhoods
421,C=S,Detailed Atom Neighborhoods
422,N=N,Detailed Atom Neighborhoods
423,N=O,Detailed Atom Neighborhoods
424,N=P,Detailed Atom Neighborhoods
425,P=O,Detailed Atom Neighborhoods
426,P=P,Detailed Atom Neighborhoods
427,C(#C)(-C),Detailed Atom Neighborhoods
428,C(#C)(-H),Detailed Atom Neighborhoods
429,C(#N)(-C),Detailed Atom Neighborhoods
430,C(-C)(-C)(=C),Detailed Atom Neighborhoods
431,C(-C)(-C)(=N),Detailed Atom Neighborhoods
